,device_brand,5g,internal_memory,ram,days_used,price
2174,8,0,32.0,4.0,865,28272
2175,8,0,16.0,4.0,959,30442
2176,8,0,32.0,4.0,578,23374
2177,8,0,32.0,4.0,726,25916
2178,8,0,16.0,4.0,1076,22816
2179,8,0,32.0,4.0,562,27094
2180,8,0,32.0,4.0,1011,24986
2181,8,0,16.0,4.0,883,26474
2182,8,0,16.0,4.0,777,25358
2183,8,0,32.0,4.0,703,30194
2184,8,0,16.0,4.0,790,28706
2185,8,0,16.0,4.0,804,25358
2186,8,0,16.0,4.0,682,27652
2187,8,0,16.0,4.0,775,26350
2188,8,0,16.0,4.0,1028,23188
2189,8,0,16.0,4.0,602,24738
2190,8,0,16.0,4.0,835,28024
2191,8,0,32.0,4.0,678,29078
2192,8,0,32.0,4.0,607,30380
2193,8,0,16.0,4.0,594,29140
2194,8,0,16.0,4.0,992,21886
2195,8,0,16.0,4.0,691,26970
2196,8,0,16.0,4.0,621,30008
2197,8,0,16.0,4.0,860,27652
2198,8,0,16.0,4.0,877,25792
2199,8,0,16.0,4.0,572,22940
2200,11,0,32.0,4.0,395,30256
2201,11,0,64.0,4.0,487,26412
2202,11,0,128.0,4.0,717,30194
2203,11,0,32.0,4.0,755,25234
2204,11,0,64.0,4.0,643,28644
2205,11,0,32.0,4.0,705,27590
2206,11,0,32.0,4.0,734,27652
2207,11,0,16.0,4.0,710,26102
2208,11,0,16.0,4.0,601,23994
2209,11,0,16.0,4.0,814,27404
2210,11,0,32.0,4.0,924,27776
2211,11,0,32.0,4.0,713,27900
2212,11,0,32.0,4.0,622,26536
2213,11,0,16.0,4.0,866,28148
2214,11,0,16.0,4.0,781,26908
2215,11,0,16.0,4.0,915,26226
2216,11,0,16.0,4.0,924,26970
2217,11,0,32.0,4.0,966,23994
2218,11,0,16.0,4.0,836,26970
2219,11,0,32.0,4.0,835,24800
2220,11,0,32.0,4.0,708,28086
2221,11,0,16.0,4.0,800,26288
2222,11,0,16.0,4.0,569,25358
2223,11,0,16.0,4.0,588,24800
2224,11,0,16.0,4.0,843,23808
2225,11,0,32.0,4.0,796,26660
2226,11,0,32.0,4.0,1039,22878
2227,11,0,16.0,4.0,976,27528
2228,11,0,32.0,4.0,564,27404
2229,11,0,32.0,4.0,881,24924
2230,11,0,32.0,4.0,887,25792
2231,11,0,32.0,4.0,938,21576
2232,11,0,16.0,4.0,985,28396
2233,11,0,32.0,4.0,836,27528
2234,11,0,32.0,4.0,567,25916
